Date,remainder__Month,remainder__Volume Super Bacon Thick 681g,remainder__kg Avg Price Super Bacon Thick 454g,remainder__kg Avg Price Super Bacon Thick 681g,remainder__Promos - Super Bacon Thick 454g_lowDisp,remainder__Promos - Super Bacon Thick 454g_Disp,remainder__Promos - Super Bacon Thick 454g_Other,remainder__Promos - Super Bacon Thick 454g_low Money Off,remainder__Promos - Super Bacon Thick 454g_MB,remainder__Promos - Super Bacon Thick 454g_2for3pn,remainder__Promos - Super Bacon Thick 454g_TPR,remainder__Promos - Super Bacon Thick 681g_Disp,remainder__Promos - Super Bacon Thick 681g_TPR,remainder__Promos - Super Bacon Thick 681g_Half Price,remainder__Promos - Super Bacon Thin 340g_Disp,remainder__Promos - Super Bacon Thin 340g_Money Off,remainder__Seasonality - Average Temperature C,"remainder__Seasonality - Snow (depth, weekly cm)",remainder__Seasonality - Snow (binary if over 3cm),remainder__Seasonality - Precipitation (weekly mm),remainder__Seasonality - Sunshine (Daily Hours),remainder__Seasonality - DFLTA Average Temperature C,"remainder__Seasonality - DFLTA Snow (depth, weekly cm)",remainder__Seasonality - DFLTA Precipitation (weekly mm),remainder__Seasonality - DFLTA Sunshine (Daily Hours),remainder__Seasonality - New Years Day,remainder__Seasonality - New Years BH,remainder__Seasonality - Valentines Day,remainder__Seasonality - Good Friday BH,remainder__Seasonality - Easter Monday BH,remainder__Seasonality - Early May BH,remainder__Seasonality - Spring BH,remainder__Seasonality - Summer BH,remainder__Seasonality - Christmas Eve,remainder__Seasonality - Christmas Day,remainder__Seasonality - Christmas BH,remainder__Seasonality - Boxing Day,remainder__Seasonality - Boxing Day BH,remainder__Seasonality - New Years Eve,remainder__Seasonality - Royal Wedding BH,remainder__Seasonality - Diamond Jubilee BH,remainder__Seasonality - All Bank Holidays,remainder__Seasonality - 2012 London Olympics,remainder__Seasonality - 2011 Riots,remainder__Seasonality - Football Euros,remainder__Seasonality - Football World Cup and Euros,remainder__Seasonality - Mothers Day,remainder__Seasonality - Fathers Day,remainder__Seasonality - St Patricks Day,remainder__Seasonality - Dummy Week 1,remainder__Seasonality - Dummy Week 2,remainder__Seasonality - Dummy Week 3,remainder__Seasonality - Dummy Week 4,remainder__Seasonality - Dummy Week 5,remainder__Seasonality - Dummy Week 6,remainder__Seasonality - Dummy Week 7,remainder__Seasonality - Dummy Week 8,remainder__Seasonality - Dummy Week 9,remainder__Seasonality - Dummy Week 10,remainder__Seasonality - Dummy Week 11,remainder__Seasonality - Dummy Week 12,remainder__Seasonality - Dummy Week 13,remainder__Seasonality - Dummy Week 14,remainder__Seasonality - Dummy Week 15,remainder__Seasonality - Dummy Week 16,remainder__Seasonality - Dummy Week 17,remainder__Seasonality - Dummy Week 18,remainder__Seasonality - Dummy Week 19,remainder__Seasonality - Dummy Week 20,remainder__Seasonality - Dummy Week 21,remainder__Seasonality - Dummy Week 22,remainder__Seasonality - Dummy Week 23,remainder__Seasonality - Dummy Week 24,remainder__Seasonality - Dummy Week 25,remainder__Seasonality - Dummy Week 26,remainder__Seasonality - Dummy Week 27,remainder__Seasonality - Dummy Week 28,remainder__Seasonality - Dummy Week 29,remainder__Seasonality - Dummy Week 30,remainder__Seasonality - Dummy Week 31,remainder__Seasonality - Dummy Week 32,remainder__Seasonality - Dummy Week 33,remainder__Seasonality - Dummy Week 34,remainder__Seasonality - Dummy Week 35,remainder__Seasonality - Dummy Week 36,remainder__Seasonality - Dummy Week 37,remainder__Seasonality - Dummy Week 38,remainder__Seasonality - Dummy Week 39,remainder__Seasonality - Dummy Week 40,remainder__Seasonality - Dummy Week 41,remainder__Seasonality - Dummy Week 42,remainder__Seasonality - Dummy Week 43,remainder__Seasonality - Dummy Week 44,remainder__Seasonality - Dummy Week 45,remainder__Seasonality - Dummy Week 46,remainder__Seasonality - Dummy Week 47,remainder__Seasonality - Dummy Week 48,remainder__Seasonality - Dummy Week 49,remainder__Seasonality - Dummy Week 50,remainder__Seasonality - Dummy Week 51,remainder__Seasonality - Dummy Week 52,remainder__Economy Consumer Confidence Index,remainder__Horse Meat Scandal,remainder__Super Bacon Media National Actual TVRs Bacon ,remainder__Super Bacon Media Bacon TV Spend,remainder__Super Bacon Media Press GRPs,remainder__Super Bacon Media Press Spend,remainder__Super Bacon Media Facebook Spend,remainder__Super Bacon Media TV Sponsorship,remainder__Super Bacon Media Peace Keeper TVRs 30s Equiv Bacon Only,remainder__Super Bacon Media Peace Keeper TVRs 30s Equiv Bacon and Sausages,remainder__trend,Base
09/04/2011,963.1158041142858,0.0,0.0,8892.467396184873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.6215309766347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2578.4304773313743,-0.0,-0.0,192.65489341131624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7954.86159421019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8073.072682575441,2306.2756211958845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16/04/2011,1192.4451533789907,0.0,0.0,12690.954808835622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.1795533825375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1381.1697653783438,-0.0,-0.0,-171.20451036886405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17132.563966470756,2498.791262922616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23/04/2011,1019.5144635616842,0.0,0.0,14090.423390638722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3528.9327779351306,0.0,-0.0,218.71376028468063,0.0,0.0,0.0,14405.585232964633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12818.470485215652,1528.8598893994954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30/04/2011,937.9646848492606,0.0,0.0,9388.656895621392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.5338855835835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1501.7812378306114,0.0,-0.0,372.75064862372005,0.0,0.0,0.0,0.0,5229.9065888870055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16176.222283490648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8439.40896726186,1790.074807851923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/05/2011,1375.0777962549337,0.0,0.0,10158.218706022897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.6628156506008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2277.0343216808974,-0.0,-0.0,289.6676556356236,0.0,0.0,0.0,0.0,0.0,3408.44367232364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12596.595987064038,1386.8990453673712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/05/2011,1446.4720706359283,0.0,0.0,10680.15856923707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.1878863058041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120.7610080959857,0.0,-0.0,138.62256597790417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8753.442486145457,3162.3554136018533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/05/2011,1223.9722918920052,0.0,0.0,9426.633544844859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.93137164983693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626.103714188671,0.0,0.0,-89.72779934206547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16055.48623553441,2523.7006412322826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/05/2011,1421.15441777053,0.0,0.0,13299.962281328622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1688.7238949194405,-0.0,0.0,-400.3935726236223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17581.615233495984,3126.2855349479287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/06/2011,1591.2885528220738,0.0,0.0,13347.440027541214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,854.6664680266014,0.0,-0.0,93.97256365652149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17502.751011463777,1233.781376489815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/06/2011,1358.4809136315805,0.0,0.0,11810.806081754094,0.0,344.05715776644007,0.0,0.0,30030.997832023215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1027.7946419218526,0.0,-0.0,103.7888677171505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6319.665086196037,2084.2905911082353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,7800.908111725085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/06/2011,1481.261297012677,0.0,0.0,11501.386442117231,0.0,525.214570915055,0.0,0.0,38202.755255194184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5860870531434665,0.0,0.0,5.810445580289771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13636.020734731941,872.7651673954772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/06/2011,1358.7576721721891,0.0,0.0,10433.231152317428,0.0,137.65089896603982,0.0,0.0,35043.30188454742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-606.5457727852502,0.0,0.0,-128.63997976755576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4803.513207000778,2341.22140382573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,8777.809533723217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/07/2011,1738.269742478588,0.0,0.0,12724.892347342333,0.0,0.0,0.0,0.0,10979.064682827688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.462647706407599,0.0,-0.0,230.89963281240566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15403.595585062183,1693.9406571832112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/07/2011,1636.3025209258437,0.0,0.0,11009.412288121037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-560.4130497437048,0.0,0.0,35.13100909309873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9567.442727371108,1868.2220098461692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,8725.10249438645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16/07/2011,2130.7008690887315,0.0,0.0,16422.49935487038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-509.96811265007193,-0.0,-0.0,8.746690418243798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14596.160095546278,1973.8611027264378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
